Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.16,-.27,-.04,-.34,-.13,-.01,-.80,-.43,-.26,-.16,-.10,-.02,.05,.65
1881,-.07,-.16,.01,-.32,.10,-.06,-.91,-.41,-.18,.09,.11,-.04,-.07,.57
